name,state,faa
Columbia Airport,OH,4G8
Tri-L Acres Airport,AL,1AL2
York Aerodrome,OH,8OH4
Strietelmeier Flying Field,IN,91IN
Strom Private Airport,ND,6NA0
Columbus Municipal Airport,ND,D49
Loseke Airstrip,NE,NE37
Columbus Municipal Airport,NM,0NM0
Columbus Stockyards Airport,NM,
First Aero Squadron Airpark,NM,NM09
Hacienda Sur Luna Airport,NM,NM78
J-Em Farm Airport,OH,82OI
River Field,TX,TS27
Fountain Prairie Airport,WI,6WN6
Akm Airfield,PA,PN54
Davis Airport,CA,67CL
Douglas Airport,IL,IL84
Zema Private Airport,WA,WA72
Smith Airport,WA,WA73
Erickson Ranch Airport,WA,WN04
Ksa Orchards Airport,OK,OK11
Loma de Cometa Airport,TX,66TX
B. J. Mc Combs Sisterdale Airport,TX,08TE
Comfort Airpark,TX,17TE
Diamond K Ranch Airport,TX,
JL Bar Ranch,TX,9TE2
Santiago Cattle Co. Airport,TX,XS80
Doug Bolton Field,GA,02GA
Bresson Airport,IL,C82
W Davis Airport,IL,IL87
Earl Barnickel Airport,IL,IL88
Hyde Ranch Airport,NE,03NE
Robertson Ranch Airport,TX,0TE0
Nix River Ranch Strip,TX,TX07
Mort's Landing Airport,WI,0WI1
Flying M Farms Airport,MD,MD77
Conchas Lake Airport,NM,E89
Flying D Airport,GA,1GE5
Thacker Field,GA,4GA1
Beaver Creek Airport,GA,88GA
Flying 'H' Ranch Airport,GA,GA68
Shade Tree Airport,GA,GA73
Takle Field,GA,GA74
Meadowlark Airport,GA,GA75
Buffalo Creek Airport,NC,4NC8
Propst Airport,NC,NC19
Spencer Airport,NC,NC35
Chalfant Airport,NC,NC77
Skovhus Airport,VA,VA24
Condon US Forest Service Airport,MT,S04
Ajax Airport,OR,OR46
Snyder Ranch Airport,OR,OR48
Wright's Field,OH,36OH
Adams Airport,PA,90PA
Meyer Ranch Airport,CO,5CO6
Murtha Airport,OH,02OI
Connell City Airport,WA,WA14
Joseph A. Hardy Connellsville Airport,PA,VVS
Trapper Creek Strip,MT,MT30
Squires Airport,IN,10IN
Nulltown Wingnuts Ultralightport,IN,73II
Pembroke Farm Airport,MD,6MD4
Cut and Shoot Airport,TX,19TE
Flying Hare Field Airport,TX,34XS
Shepard Airport,NY,NK04
Engineers Airport,NY,NK82
Continental Airport,AZ,35AZ
Verhoff Airport,OH,36OI
Whitehall Field Ultralightport,LA,LA36
Converse Airport,IN,1I8
Arkavalley Airport,AR,12A
Poe's Airport,AR,AR88
Eagles Aerodrome,TX,55T
J C's Airport,WA,27WA
Wamsley Field,KS,SN36
Lola Landing Airport,GA,36GA
Whispering Pines Airport,GA,GA80
One Grand Field,TN,5TN9
Schiff Airport,TN,TN80
Tenkiller Lake Airpark,OK,44M
Snake Creek Wilderness Airport,OK,OK06
Schertz Aerial Service - Cooksville Airport,IL,2IS9
Blackburn Airport,WI,WI98
Valley Farms Airport,AZ,36AZ
Sarita Airport,AZ,37AZ
Stangl STOLport,IA,16IA
Walker Airport,MI,7MI7
Oak Glen Ranch Airport,TX,3TS9
Quartz Creek Airport,AK,JLA
Hawkins Field,PA,92PA
Maple Cave Park Airport,PA,93PA
Jennings Ranch Airport,OK,OL09
B Flat Farm Airport,NY,3NK8
Hi-Vu Airport,PA,PA65
Benham Airport,OR,45OR
Lehman Field,OR,OR50
Salyer Farms Airport,CA,24CL
El Rico Airport,CA,68CL
Kral's Personal Use Landing Field,MN,42MN
Fenner Ranch Airport,TX,22TE
Cordes Airport,AZ,00AZ
The Sandbox Airport,IL,32LL
Mike Ferrell Field,WV,WV09
Dilworth Airport,MS,MS18
Skyport Airport,OR,4S4
Antique Aerodrome,IL,40IL
Testoni Farms Airport,IL,IL91
Brown Truck Sales Airport,IA,1IA0
Corning Municipal Airport,IA,CRZ
Old Port Royal Airport,NY,6NY1
Cornucopia Field,WI,WI23
Pine Island Airport,NC,7NC2
Lincoln Station Airport,NM,NM25
Cuddihy Field,TX,07TE
Dean Airport,TX,69TA
Anderosa Airpark,TX,TA43
Corry Lawrence Airport,PA,8G2
Corsica Municipal Airport,SD,D65
Coyote Field,TX,4XS1
Jtj Ranch Airport,TX,6TX6
The Homestead Airport,TX,90TE
Anxiety Aerodrome,TX,TA05
Smith Airport,TX,TX51
Tanner Field,CO,CO27
Urban Airport,OH,8OH5
Allen Airport,OH,8OI3
Coca Cola Airport,OR,OG49
Hedditch Airport,MT,MT72
Schrock Airport,OR,4OR4
Muddy Creek Airport,OR,55OR
Gates Airport,OR,8OR7
Dunning Vineyards Airport,OR,OG01
Flying Tom Airport,OR,OR39
Venell Airport,OR,OR52
Winn Airport,OR,OR54
Holiday Airport,OR,OR56
Grismore Airport,IA,IA07
Cobb Farm Airport,IA,IA76
Amy Airport,IN,1II4
Lux Strip,MN,MN28
Lowe Airstrip,CO,CD01
Little Wheel Field,WI,59WI
Quale Airport,WI,87WI
The Valley Airport,AR,61AR
Rainey Field,AL,AL02
Max Airport,LA,LA48
Flying N Ranch Airport,CA,CA04
Cooks Airport,SD,SD66
Chase County Airport,KS,9K0
El Caballero Airport,TX,2XA1
Ghost Apache Airport,TX,45XS
Gould Strip,TX,46TA
Uno Mas Ranch Airport,TX,5TS1
Morris Ranch Airport,TX,79TA
Rancho Ecantado Airport,TX,TA58
Crescent C Ranch Airport,TX,TX79
Los Cuernos Ranch Airport,TX,XA08
Greeley Airport,PA,PN15
Mount St Helen's Aero Ranch Airport,WA,WN10
Coulee City Airport,WA,WA15
Council Airport,AK,K29
Flying Y Ranch Airport,ID,03ID
Seven Devils Airport,ID,ID17
Council Grove Municipal Airport,KS,K63
Coupeville Nolf Airport,WA,NRA
Coupeville Airpark,WA,WN40
Chan-C Airport,TX,5TS2
Crosswinds Airfield,TX,TE96
The Red River Airport,LA,0R7
Stuart Airstrip,LA,LA51
Cove Side Ranch Port Airport,OR,OG07
Heckler Field,CT,CT09
Miller Field,NY,NY73
Alcovy Airport,GA,07GA
Morgan Farm Field,GA,GA82
Windy Hill Airport,GA,GA83
Warner-Thunder Hill Airport,LA,23LA
Hickham Field,LA,LS76
Kemps Field of Dreams Airport,OH,6OH9
Cade's Airport,OK,0OK8
Thurmond Glenn Field,TN,
Bull Run Airport,TN,8TN9
Baskin Airport,TN,9TN7
Jantzen Airport,OK,93OK
Deer Run Airport,NY,NY74
Walls Airport,AR,1AR1
Coyote Run Gliderport,AZ,AZ86
Mesa View Ranch Airport,CO,5CO7
Lonesome Sky Airport,MO,MO24
Craigmont Municipal Airport,ID,S89
Herold Airport,WV,WV63
Petty Farms Airport,GA,2GE7
Blue Bird Field,GA,37GA
Bennetts Airport,TX,9TX2
Island View Airport,WI,4WI2
Crandon Municipal Airport,WI,Y55
Arnold Airstrip,OR,7OR1
J-Bar Ranch Airport,TX,8TE2
Crane County Airport,TX,E13
Franklin Center Airport,PA,
Willows Airport,PA,
Parrish Airstrip,TX,TX52
Cade Field,TX,TX97
Mystery Farm Airport,RI,RI20
Flying C's Plantation Airport,AL,AL51
Crawford Airport,CO,99V
Mission Field-Marotti Memorial Airport,AR,0AR2
Flying G Airport,MO,0MO1
Creighton Municipal Airport,NE,6K3
Mark Reynolds/North Mobile County Airport,AL,15A
Hawk Haven Airport,OK,05OK
Sky High Airport,OK,
Myers Airport,OK,7OK8
Skinners Wholesale Nursery Airport,FL,16FD
Thunderbird Air Park,FL,2FA5
Eagles Nest Aerodrome,FL,FD44
Crescent Valley Airport,NV,U74
Ellen Church Field,IA,CJJ
Rocky Hill Ultralightport,PA,48P
Jim Finlay Farm Airport,FL,28FL
Chigger Field,TX,TE52
Cole Airfield,OH,37OI
Wallace Field,IA,1IA4
Mercer Field,IA,
Hendrickson Flying Service Airport,IL,IL93
The Funny Farm Airport,FL,FD03
Triple B Airpark,FL,FL81
Walker Airport,OR,OR57
Trent Farm Airstrip,VA,VA26
Moorefield's Airstrip,VA,VA27
Crivitz Municipal Airport,WI,3D1
Neveln Field,WI,
Last Resort Airport,TX,1TA4
Kenley's Mustang Prairie Ranch Airport,TX,7XS2
M Y Ranch Airport,TX,80TS
Dibrell Airport,TX,
Grimm Farm Airport,NE,31NE
Crooked Creek Airport,AK,CJX
Crooksville Airport,OH,I84
Crosby Municipal Airport,MS,C71
Troy Field,ND,80ND
Crosby Municipal Airport,ND,D50
Flying F Ranch Airport,TX,1TE2
Dunham Field,TX,1XS1
Roeder Airport,TX,49TA
Rogers Airport,TX,9TA3
Crosbyton Municipal Airport,TX,8F3
Lesesne Airport,SC,6SC1
Crosswinds-Wilson Private Airport,SC,SC37
Southern Aero Sports Airport,SC,16SC
Rimes Lakecrest Airport,FL,35FA
Ross Planes Airport,TX,TX11
Z M Jack Stell Field,AR,CRT
Buck Creek Ranch Airport,TN,4TN2
Crosswind Lake Airport,AK,1AK2
Arnold Field,MI,55G
W C Ranch STOLport,OK,
Foard County Airport,TX,2XA0
Lawson Field,LA,99LA
Hensgens Strip,LA,
Walsh Airport,LA,LA90
Crowley Ranch Airstrip,OR,78OR
Swanson Field,MN,MY95
Cottonwood Farm Airport,VA,87VA
Spring Landing Airport,MD,6MD2
Seafood Warehouse Park Airport,TX,XS77
Wagner-Braxdale Airport,TX,2TE8
Picosa Ranch Airport,TX,3TA8
Chacon Creek Ranch Airport,TX,3TA9
H & F Properties Airport,TX,8TE4
Crystal City Municipal Airport,TX,20R
Flying G Airport,TX,TA34
Huber Airport,MI,39MI
Iron County Airport,MI,50D
South 80 Field,IA,2IA9
Post Oak Ranch Airport,FL,1FA1
J.R.'s STOLport,FL,66FD
Copiah County Airport,MS,M11
Dew Airpark,NY,36NY
Cubero Airport,NM,NM74
Cuero Municipal Airport,TX,T71
Lempa Airport,TX,
Hock Airport,NE,13NE
Layne Farm Airstrip,VA,VA28
Askey Field,TN,9TN5
Culmerville Airport,PA,PN38
The Greenhouse Airport,VA,02VA
Belmont Farm Airport,VA,88VA
Berryvale Airport,VA,VA30
Homeland Airport,VA,VA67
Van De Mark Airport,IN,1II5
Winn Field,IN,37II
Ddt Field,IN,3IN8
I & C Field,IN,IN54
Fleet Field,IN,IN73
H.J.Umbaugh Airport,IN,IN74
Lake Billy Chinook State Airport,OR,5S5
Mexico Farms Airport,MD,1W3
Stafford Airport,GA,GA20
Morris Manor Airport,TX,TA06
Ebeneezer Airport,GA,4GA9
Stoney Point Field,GA,6GA0
Pinetree Heliport,GA,8GA0
Terry Field,KY,74KY
Circle T Ranch Airport,MI,MI93
Gruetter Airport,OH,5OI7
Curtis Municipal Airport,NE,47V
Curtis Airport,WA,0WA2
Old Orchard Airport,PA,0PS4
Windy Hill Airport,PA,PS23
Thorn Airport,MI,MI19
Ruff Airport,MT,MT34
Corn Field,IL,IL95
Ledet Airfield,LA,
Hepp Airport,IL,9LL2
Cutler Regional Airport,ME,ME2
Dixon Airport,CA,
Folsom Airport,FL,2FL3
Squirrel Creek Ranch Airport,TX,4TE9
Glasscock Field,TX,4TS8
Two J's Flying Ranch Airport,FL,3FL1
Dusty Airpatch Airport,FL,5FL0
Cub Haven STOLport,FL,FD53
Dahl Creek Airport,AK,DCK
Gelfius Intl,IL,27IS
Dahlgren Naval Surface Warfare Center Airport,VA,NDY
Greater Morris County Airport,TX,8F5
Atkins Ridge Airport,WI,WI43
Miller Airfield,TX,25TS
Lehman Airport,PA,2PA2
Texas Health Presbyterian Hospital Dallas Heliport,TX,37TA
Lavon North Airport,TX,46TS
Husband Field,IA,39IA
Flying Eagle Airport,PA,PS21
Pratermill Flight Park Airport,GA,GA72
Miller Airstrip,NE,1NE6
Wingfield Airport,MD,MD01
Massimiliano Memorial Field,TX,4TA0
H & S Airfield,TX,XS21
Salaika Aviation Airport,TX,07TA
Knape Airport,TX,2XA2
Garrett Ranch Airport,TX,77XS
Danby Airstrip,CA,CL18
Tom N' Jerry Airport,NY,NK05
Ray's Stall Airport,TN,21TN
Eberle Ranch Airport,WI,5WN2
Dane Airport,WI,WI65
Smith Aviation Inc Airport,TX,78XS
Raymond Classen Memorial Airport,IL,8IS5
Antelope Run Ranch Airport,WY,WY33
Danville Airpark,GA,7GA4
Mccoy Airport,IA,4IA4
Flying B Ranch Airport,IL,0IL3
Melody Field,IL,IS88
Jr's Airport,IN,11IN
Lindley Private Airport,IN,II35
Meadors Field,IN,II82
Gravity Zero Airport,KY,99KY
Buck Hollar Airport,VA,95VA
Belforest Airport,AL,
Ronshausen Airport,OH,38OI
White's Airport,OH,63OH
Sapelo Island Airport,GA,08GA
Eden Field,GA,3GE7
Patterson Island Airport,GA,GA21
Ames Private Airport,WI,05WI
Graham Airport,SC,21SC
Branhams Airport,SC,6J7
Paul's Plantation Airport,SC,SC93
J & S Field,IN,12IN
Bayou Meadows Airport,LA,9LS1
Duke Ranch Airport,TX,TX38
Morton Field Ultralight Flightpark,AZ,AZ00
Tallman West Airport,PA,PS00
Las Trancas Airport,CA,17CL
Plath Farms Airport,ND,34ND
Schroeder Airport,ND,ND92
Grone Airport,NE,22NE
R & R Farms Airport,NE,80NE
Mountain Top Airport,NY,NY02
Hall-Feld Airport,NE,68NE
Warbonnet Ag Strip,NE,NE39
David City Municipal Airport,NE,93Y
Isbell Ranch Airport,TX,14XS
Medlock Field,CA,69CL
Ellis Airport,IL,IL23
Crazy Horse Municipal Airport,OK,97F
Chance Airport,VA,VA89
John's Airport,MI,12MI
Young Airport,GA,9GA3
Knapp Pecan Orchard Airpark,TX,5TS3
Tradewater Airport,KY,8M7
Elliott Field,GA,30GA
Riverview Ranch Airport,OR,8OR3
Paulling Place Airstrip,AL,2AL0
Glenair Airport,MD,MD46
Leo's Angus Ranch Airport,MO,
Dahio Trotwood Airport,OH,I44
Seaberg Ranch Airport,TX,21TE
Gum Island Airport,TX,3TE1
Pinoak Airport,TX,3TE9
Pavlat Airport,TX,3TS7
Jamison Airstrip,TX,4TE6
Jet Ag Inc Airport,TX,TA07
West Liberty Airport,TX,TS35
Xingu Airstrip,WY,99WY
Wiley Creek Airport,OR,OR13
Land's Inn Ranch Airport,OR,49OR
Bryn Airport,ND,ND09
Elert Airport,WI,WS12
Walter Airport,IL,0IL8
Jack W. Watson Airport,IL,0IL9
Hoffman Airport,IL,IS63
Uncle Chuck's Airport,IL,IS80
De Leon Municipal Airport,TX,04F
Smith Flying Service Airport,TX,TS14
Lafayette Landings Airport,FL,FD90
De Motte Airport,IN,
Birch Creek Airport,WI,WS43
De Quincy Industrial Airpark,LA,5R8
Swamp Smith Airport,LA,34LA
Hangman Creek Ranch Airport,ID,
Lee Airport,SD,SD83
De Soto Airport,IA,
Ingels Aerodrome,KS,4KS2
De Witt Municipal Airport Whitcomb Field,AR,5M1
Hoerners Corners Airport,MI,MI10
Helmericks Airport,AK,
Inigok Airport,AK,4AK1
Badami Airport,AK,AK78
Deale Airport,MD,MD22
Deblois Flight Strip,ME,43B
Crystal Lake Airport,AR,5M5
Gage Airport,IN,13IN
Blomenberg Airport,IN,II85
Mc Entire Airport,TX,5TS4
Bishop Airport,TX,76T
Lazy G Bar Ranch Airport,TX,09T
Red Ace Ranch Airport,TX,TS57
Lazy 9 Ranch Airport,TX,TX64
Allison Farm Airport,TX,XA34
Jbj Ranch Airport,TX,XA98
Flat Bush Airport,TX,XA99
Decatur /Jones/ Airport,WA,WA18
Snider Field,IN,0IN1
Bandmill Field,IN,9IN4
Innes Acres Airport,MI,3MI5
Indian Creek Ranch Airport,MI,56G
Taylor's Air Strip,AR,0AR3
Cady Aerial RLA Restricted Landing Area,IL,0IS3
Larner Field,MT,MT93
Deer Flat Airport,WA,WA52
Pete's Airport,WA,WN14
Morris Airport,CO,CD13
Millers Airstrip,ND,81ND
Lindey's Landing Airport,MN,5MN7
Sethney Personal STOLport,MN,8MN4
Marys River Ranch Airport,NV,NV04
Breezy Knoll Airport,FL,0FD5
Joy Farms Airport,FL,0FD9
Cedar Lane Airport,FL,
Unicorn Place Airport,FL,69FD
Paynes Airport,MN,73MN
Moores Airport,NY,1.00E+08
Bertani Ranch Airport,TX,23TS
Lewis Private Airport,TX,4TE2
Devil's River Ranch Airport,TX,4TE7
Horn Ranch Airport,TX,81TE
Rnk Ranch Airport,TX,8TS8
Flying D Ranch Airport,TX,TA29
Tyra Ranch Airport,TX,TA81
Rio Vista Ranch Airport,TX,TS04
Del Valle Airport,TX,TA55
North Exuma Airport,FL,85FA
Pine Lakes Farm Airport,FL,
Deep Woods Ranch Airport,FL,FD86
Bradshaw Tree Farm Airport,FL,FL62
Brandt Airport,MN,MN19
Wandervogel Gliderport,NY,NY77
Hobby Hideaway RLA Airport,IL,
Smilin' Sam's Airport,WI,
Bowman Field,OH,63OI
Obi One Airport,OH,7OH3
Berlin Station Lndg Strip,OH,OH57
Fly-A-Way Farm Airport,OH,OI12
Flying Acres Airport,OH,OI49
Leonards Airfield & Indust Park Airport,LA,63LA
Gunnersfield Ranch Airport,CA,71CL
Delhi Municipal Airport,LA,0M9
Dell Flight Strip,MT,4U9
Dell City Municipal Airport,TX,2.00E+05
Weelborg Airport,SD,9SD9
Jensen Airport,SD,SD46
Cross' Farm Airport,NY,4NY4
De Ford Airport,IN,4II0
Baldock Farm Airport,KS,SN39
Youngpeter Airport,OH,3OH6
Antiquers Aerodrome,FL,FD08
Roubideau Airport,CO,27CO
Sky Island Ranch Airport,CO,3CO0
Jim's Heliport,CO,5CO3
Barber Field,CO,CO89
Westwinds Airport,CO,D17
Desert Aviation Airport,UT,UT49
Rocking T. Ranch Airport,AK,11AK
Remington Field,AK,29AK
Cherokee Airport,AK,45AK
Pogo Mine Airstrip,AK,76AK
Arctic Angel Airport,AK,9AK4
Wingsong Estates Airport,AK,AK09
All West Airport,AK,AK77
Delta Junction Airport,AK,D66
Solo Ranch Airport,NM,NM08
Luna Landing Airport,NM,NM26
Riverside Airport,WA,4WA8
Road Commission Nr 1 Airport,AK,0Z2
Podell Airport,IN,IN76
Mc Keon Aviation Airport,TX,9XS4
Kidd-Private Airport,TX,TX12
Dileo Field,MD,6MD1
G W Farm Airport,MD,9MD9
Gary Field,MD,MD41
Denton Airport,MT,5U0
Denton Airfield,NE,NE40
Myska Field,TX,2TS0
Hartlee Field,TX,3XS0
Windy Hill Airport,TX,46XS
Warschun Ranch Airport,TX,4TA1
Smither Field,TX,TE81
Little Mountain Airport,NC,6NC1
Two Leggs Airport,TX,1TA5
Denver City Airport,TX,E57
Beyer Farm Airport,KS,06SN
Hamilton Field,KS,1K3
Blue Sky Ranch and Aerodrome,KS,
Olson Aerodrome,KS,SN40
Port-O-John Airport,OH,2OH8
Dermott Municipal Airport,AR,4M5
Taylor Airstrip,AR,1AR2
Bob Norman Airstrip,AR,1AR3
De Louis Field,IA,
Iron Mountain Pumping Plant Airport,CA,72CL
Julian Hinds Pump Plant Airstrip,CA,73CL
Deshler Municipal Landing Strip,OH,6D7
Wilder Airport,SD,6.00E+05
Devine Municipal Airport,TX,23R
Hellinger Airport,MT,MT02
Cackleberry Airport,MI,2.00E+08
K-D Field,NM,NM03
Lost Creek Airport,OR,82OR
Di Giorgio Ranch Landing Strip,CA,74CL
Barton Lake Ranch Airport,OR,OR08
Wolberg's Private Airport,ND,7ND1
Dighton Airport,KS,K65
Triple J Airport,IA,4IA9
Mc Donald Ranch Airport,TX,5TS5
Dilley Airpark,TX,24R
Nushagak Airport,AK,AK21
Dillon County Airport,SC,DLC
Price Airport,SC,SC89
Vogelsong Airport,PA,PA69
Ott Farms Airport,TX,7TS8
Dimmitt Municipal Airport,TX,T55
Olympic Field,WA,WA45
Disney Airport,OK,OK95
Swans Field,ME,3S2
T & M Ag Aviation Airport,LA,LA52
Bally's Strip,IL,1IL6
J & Y Ultralightport,IL,9IS5
Dixon Airport,WY,DWX
Wilroads Gardens Airport,KS,9K1
Eibling Circle E Airport,OH,OI66
Hofer Private Airport,SD,SD13
Dolgeville Airport,NY,1F6
Mc Gee Airport,OR,67OR
Keil Airport,IL,6IL5
Doniphan Municipal Airport,MO,X33
Donnellson Airport,IA,IA65
Victory Field,OH,2OA4
Bear Air Airport,ID,ID96
Loy Airport,IL,1IL8
Russell Airport,IL,IS52
TxAeroSport Aerodrome,TX,6TS3
Jones Airport,WI,83WI
Allen Airport,OH,8OH8
Cedar Run Airport,PA,PN01
Dos Palos Airport,CA,28CA
Willis Ranch Airport,CA,
Emmett Field,CA,76CL
Double Springs-Winston County Airport,AL,3M2
Circle H Ranch Airport,AZ,AZ17
Lmn 120 Airport,KS,0KS9
Hardy Ranch Airport,WY,WY07
Wagonhound Airport,WY,WY27
Chamberlain Brothers Ranch Airport,WY,WY66
Alley Field,KS,60KS
Pilot Pointe Estates Airport,KS,SN52
Pinewood Airport,GA,0GE0
Miller Farm Airport,GA,25GA
Chattahoochee Air Park,GA,4GA6
Bark River Airport,WI,3WI7
Heitman Field Airport,WI,WI09
Dove Creek Airport,CO,8V6
Landers Loop Airport,AR,AR89
Hood Field,NC,66NC
Baney's Airport,PA,90PN
Lazy B Ranch Airport,PA,PS08
Short Creek Airport,TN,8TN7
Charles A. Chase Jr. Memorial Field,ME,44B
William E. Koenig Airport,IL,01IS
Soggy Bottom Airport,TN,2TN8
Fetters Construction Airport,PA,PA70
Downsville Airport,NY,NY78
Buckingham Airport,PA,PS68
Valburg Ranch Airport,SD,SD14
West St Mary's Airport,MD,3MD6
Elliott Farms Airport,ND,9ND1
Drayton Municipal Airport,ND,D29
Meitl Airport,KS,SN51
Riverview Airport,OH,OA85
Wayne's World Airport,TN,3TN3
Turner Field,TN,TN48
Ruleville Drew Airport,MS,M37
Arvin Ranch Airport,MO,
Hilltop Airport,MO,MU62
Ohho Airport,TX,0XA8
Keyes Ranch Airport,TX,14TX
Bleakley Ranch Airport,TX,5TE2
Alexander Ranch Airport,TX,5TE3
Lowrance Airport,AR,64AR
Eau Claire Lakes Airport,WI,5G4
B T & K H Ranch Airport,LA,44LA
Conrads Airport,KY,19KY
Tate Ranch Airport,TX,0TA3
Horse Shoe A Ranch Airport,CA,CA71
Hemmer RLA Restricted Landing Area,IL,08IS
Six Ponds Airport,NY,3NY6
Duanesburg Airport,NY,4B1
Mariaville Aerodrome,NY,8NY5
Moxley's Airport,MD,4MD6
Dublin Field,NC,NC82
Graystrip Airport,PA,PS46
Quahadi Ranch Airport,TX,17XS
Dubois Municipal Airport,ID,U41
Kinky Creek Divide Airport,WY,WY30
Anderson Airport,IA,IA54
High Meadow Ranch Airport,UT,2UT2
Duckwater Airport,NV,01U
Bussart Airport,IL,IS13
Dudley Airport,MO,MO54
Southfork Airport,FL,
Lyda Ranch Airstrip,OR,
Fargher Airport,OR,OR60
Jicarilla Apache Nation Airport,NM,24N
Sherwin Field Nr 1 Airport,WY,WY09
Shelton's Private Airport,MN,
Reedville Airport,AR,90AR
Rick Mathias Private Airport,MN,5MN8
Frisch Personal Airport,MN,
Dunbar Airport,WI,8WI7
Copland Airport,OK,98OL
Ketchum Ranch Airport,OK,OK97
Chestnut Hill Airport,PA,5PS5
Southerly Airport,FL,58FD
Greenlawn Farm Airport,NY,38NY
Kettle Moraine Airport,WI,1WN1
Davis Field,IA,6IA5
Baker & Hall Airport,CA,77CL
Charles Field,NC,NC22
Sunset Strip,ND,37ND
Seven Feathers Airport,FL,10FD
Mc Ginn Ranch Airport,NE,32NE
Dupree Municipal Airport,SD,
Mc Cartney Airport,IL,2IL1
Flying Z Ranch Airport,IL,47IS
Durand Municipal Airport,WI,WI25
Hayes Road Airport,WI,WN99
Val Air Airport,CO,CD82
Mc Laughlin Farm Airport,OK,66OK
Maplewood Farm Airport,CT,CT39
Margerison Airport,ME,ME75
Dwight's Delight Airport,PA,PA71
Glenn's Strip Ultralightport,LA,LA75
East-West Paris Airport,MI,14MI
Dutton Airport,MT,5U1
Majerle Strip STOLport,WA,WA17
Sauer Airport,IL,08LL
Watters Airport,IL,2IL2
Jim & Peg Airport,IL,61IS
Squirrel Run Airport,AR,AR94
Dyersville Area Airport,IA,IA80
Fontecchio Airport,MI,
Eads Municipal Airport,CO,9V7
Cotton Field,TN,4TN4
Parker Airport,TN,8TN1
Richardson Strip,TN,TN18
Eagle Airport,AK,EAA
Hunt Field,SD,SD47
Eagles Nest Aerodrome,MN,MN08
Renz Ranch Airport,TX,5TE7
Jake Garn Airport,UT,17U
Air Evac EMS 57 Base Heliport,TX,56TE
Comanche Ranch Airport,TX,5TE0
Winn Exploration Co. Inc Airport,TX,6TA4
East Oregon Cattle Co Airport,OR,0OR5
Mucky Flat Airport,OR,89OR
Highland Airport,AK,47AK
Eagles Nest Airport,MO,MU98
Big Hill Airport,VA,44VA
Merritt Field,PA,4PN7
Puckett Gliderport,TN,50M
Versailles Aerodrome,TN,9TN1
Hawk Haven Airfield,TN,TN07
T-Top Airfield,TN,TN14
Lawrence Airport,OK,01OK
Lasley Private Airport,OK,6OK8
King Airport,OK,OK98
Rheude Airport,IN,II08
Mc Neely Airport,AR,63AR
Bernard Manor Airport,AR,65AR
Humm Airport,IL,06IL
Ambler - Cady Airport,IL,
Earlville Airport,IL,C94
B & C Airport,IL,IL99
Williamsport Airpark,SC,SC86
Circle W Airfield,PA,PA72
Ben's Landing Ultralightport,PA,PA89
Heldeberg Airstrip,NY,NY81
Offutt Acres Airport,PA,PN02
Chinaberry Ranch Airport,GA,9GA8
Pribbs Field,MN,2MN0
Spud Field,MN,MN38
J J and T Airport,MN,MN81
Devils Hopyard Field,CT,CT11
Walter's Field,NY,42NY
East Jordan City Airport,MI,Y94
Wilson Township Airport,MI,MI24
Yankee Airstrip,CT,CT13
Transportation Research Center of Ohio Airport,OH,9OI5
Hillview Airstrip,OH,OI38
Richters Airport,MO,87MO
Mc Neal's Field,IL,2IL3
Spadaro Airport,NY,1N2
Aero Flight Center Airport,OH,55OI
Morris Field,OH,8OH7
Oak Ridge Airport,NY,NY16
Henderson Mounds E B G Airport,MO,MO57
D.Evans Farm Airport,PA,PA73
Alexander Farm Airport,NY,NY82
Waldronaire Airport,WA,90WA
Barker Strip,WI,35WI
Air Troy Estates - Restricted Airport,WI,WI69
Roberts Farm Airport,CT,CT85
Bancroft Airport,CT,CT14
Eastford Airport,CT,5CT0
Buell Farm Ultralightport,CT,5CT6
Risky Airport,KS,1KS2
Ewing Airport,MD,MD28
Clam Harbor Airport,WA,WA35
Mears Field,VA,VG00
Crop Air Inc Airport,CO,CO48
Horizon Field,IN,IN63
Rapids Airway Airport,MI,04MI
Skyway Estates Airport,MI,60G
Sebastian Cove Airport,GA,32GA
Deerfield Landing Airport,GA,9GA9
Carlson Airport,WI,4WI5
Mertinkes Airport,WI,WI26
Ebensburg Airport,PA,9G8
Strittmatter Airport,PA,PN04
Hamilton Hill Airport,PA,PS47
Redhead Airport,FL,FD35
West Buttercreek Airport,OR,OL02
Doctors Mesa Airport,CO,6CO0
Parker Place Airport,TX,TX68
Skalitsky Airport,TX,6TE0
Cannon Aviation Airport,TX,6XS5
Liberty Hill Intl,TX,TS29
Courtney's Landing Airport,IA,99IA
Fairbanks Airfield,ID,1ID7
Dinnerbell Airport,WI,61WI
Lee's Airport,NC,16NC
Edgeley Municipal Airport,ND,51D
Jana Airport,WI,58C
Robertson's Roost Airport,IL,8IL6
Weide Ahp (Aberdeen Proving Ground) Heliport,MD,EDG
Joe D Lewis Airport,MO,0MO5
Hall Airport,MO,0MO6
Carlson Airport,PA,
Olafson Brothers Airport,ND,03ND
Plateau Sky Ranch Airport,NY,1F2
Norman & White Airport,TX,6TE1
Hidden River Airport,VA,89VA
Longs Airport,VA,VA32
Edmond Airport,OK,0OK0
5B Ranch Airport,OK,1OK8
Myrick Airport,OK,33OK
Woodleaf Aero Estates Airport,OK,5OK6
Northwest Edmond Airport,OK,OL12
Hahns Airport,TX,6TE3
Kubecka Flying Service Inc. Airport,TX,6TE5
