,title,release,distributor,director,rate,directorEff,actorEff,distributorEff,season,release.1,productContinent,showtime,trailershow,genre액션,genre범죄,genre드라마,genre코미디,genre어드벤처,genre멜로.로맨스,genreSF,genre다큐멘터리,genre공연,genre판타지,genre애니메이션,genre공포.호러.,genre성인물.에로.,genre사극,genre미스터리,star.1,firstppl,allpeople
545,해피프렌치섹스,2015-09-02,미디어소프트,조르당 골드나델,청소년관람불가,76159.23577,0,72.35714286,0,수요일,유럽,80,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A,1,1
546,히트맨 인 런던,2015-08-27,(주)무브먼트 픽쳐스,아라 파이아야,청소년관람불가,305640.0234,79694.11111,10.5,0,목요일,유럽,97,5471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1
547,사도,2015-09-16,(주)쇼박스,이준익,12세이상관람가,2711071,4503348.389,2679115.4,0,수요일,아시아,125,1181810,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,A,8316,6247651
548,고양이 살인사건,2015-09-03,(주)수키픽쳐스,질리안 그린,15세이상관람가,2263,101500.3333,650.3333333,0,목요일,북아메리카,101,8144,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,D,1750,2263
549,탐정 : 더 비기닝,2015-09-24,씨제이이앤엠(주),김정훈,15세이상관람가,2080574,1770689.028,1776720.043,1,목요일,아시아,120,689370,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,A,1246,2625686
550,젊은 엄마 3,2015-09-03,골든타이드픽처스(주),채길병,청소년관람불가,76159.23577,0,3295.125,0,목요일,아시아,95,58956,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,B,813,820
551,영도,2015-09-10,(주)콘텐츠판다,손승웅,청소년관람불가,1544.5,206523.3333,2208.4,0,목요일,아시아,116,107644,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,B,774,3094
552,돼지 같은 여자,2015-09-10,CGV아트하우스,장문일,15세이상관람가,7238,293748.6667,345363.1111,0,목요일,아시아,102,53775,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D,713,7238
553,미스터 하이네켄,2015-09-17,(주)스톰픽쳐스코리아,다니엘 알프레드슨,15세이상관람가,305640.0234,81008.33333,33707,0,목요일,유럽,94,60957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,635,3711
554,노블,2015-10-01,(주)프레인글로벌,스티븐 브래들리,청소년관람불가,2655,6500,106346.4615,1,목요일,유럽,101,35295,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,582,2655
555,제 7기사단,2015-09-10,메가박스(주)플러스엠,키리야 카즈아키,15세이상관람가,10710,1252248.333,300007.5714,0,목요일,아시아,115,145686,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,B,441,10710
556,피케이: 별에서 온 얼간이 감독판,2015-09-03,(주)와우픽쳐스,라즈쿠마르 히라니,15세이상관람가,23264,23264,218373.6,0,목요일,아시아,129,40581,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,A,232,1227
557,에베레스트,2015-09-24,유니버설픽쳐스인터내셔널 코리아(유),발타자르 코루마쿠르,12세이상관람가,7806,1202281.667,615517.7419,1,목요일,북아메리카,121,774627,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,B,154,332180
558,트루스 어바웃 엠마누엘,2015-09-17,(주)유로커뮤니케이션,프란체스카 그레고리니,15세이상관람가,611,1019931,507.25,0,목요일,북아메리카,95,47688,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D,151,611
559,선지자의 밤,2015-09-10,CGV아트하우스,김성무,청소년관람불가,286,1302,345363.1111,0,목요일,아시아,82,286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,118,286
560,창백한 얼굴들,2015-09-10,CGV아트하우스,허범욱,청소년관람불가,280,0,345363.1111,0,목요일,아시아,73,326,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,D,118,326
561,화산고래,2015-09-10,CGV아트하우스,박혜미,청소년관람불가,480.5,0,345363.1111,0,목요일,아시아,70,270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,118,270
562,비키니 모델 아카데미,2015-09-04,(주)스넵쏘울,스트로 와이즈먼,청소년관람불가,54,98,174.75,0,금요일,북아메리카,85,54,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,54,54
563,사탄의 사자: 망자의 저주,2015-09-03,페어팍스인터내셔날(주),올렉 스텝첸코,15세이상관람가,54,54,10.11111111,0,목요일,유럽,111,24701,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,54,54
564,아메리칸 비치 하우스,2015-09-04,(주)스넵쏘울,스트로 와이즈먼,청소년관람불가,54,1,174.75,0,금요일,북아메리카,93,54,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,54,54
565,더 포저,2015-09-03,(주)머스트씨무비릴리징컴퍼니,필립 마틴,15세이상관람가,1160754.832,982703.6667,5966.571429,0,목요일,북아메리카,95,31307,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,C,53,53
566,바르샤바 1944,2015-09-03,주식회사 루믹스미디어,얀 코마사,청소년관람불가,40,20,41.125,0,목요일,유럽,127,20012,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,40,40
567,홀스헤드,2015-09-03,주식회사 루믹스미디어,로메인 바셋,청소년관람불가,40,0,41.125,0,목요일,유럽,92,40,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,C,40,40
568,파우스트,2015-09-09,에스디시코리아 주식회사,장-루이 마르티노티,12세이상관람가,50853.93333,0,1673.75,0,수요일,유럽,134,32763,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A,37,6265
569,삼례,2016-06-23,(주)인디플러그,이현정,15세이상관람가,0,128.3333333,6808.363636,0,목요일,아시아,94,18759,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,C,20,3264
570,작은 형,2016-11-30,파인스토리,심광진,15세이상관람가,250552.9895,4396.666667,NA,1,수요일,아시아,110,18521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,14,1853
571,타부 : 금지된 사랑,2015-09-03,주식회사 대양미디어,고구마,청소년관람불가,76159.23577,0,46.5,0,목요일,아시아,78,32157,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D,8,8
572,슈퍼 샤크,2015-09-03,스크린조이,프레드 올렌 레이,12세이상관람가,10,7,1180.44898,0,목요일,북아메리카,85,10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,6,10
573,성난 화가 - 무삭제판,2015-09-03,(주)트리필름,전규환,청소년관람불가,1499.666667,487131,3338,0,목요일,아시아,105,61402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1
574,외출 무삭제,2015-09-09,(주)영화사 사계절,기대호,청소년관람불가,76159.23577,0,316.5,0,수요일,아시아,80,150386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A,1,1
575,하숙집 무삭제,2015-09-09,(주)소나무픽쳐스,경석호,청소년관람불가,2864.5,1,1360.110169,0,수요일,아시아,94,47421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,1
576,슈퍼레이서 엔지,2015-09-10,(주)에이원엔터테인먼트,허선,전체관람가,429610.1808,0,842.5,0,목요일,아시아,63,10166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,8525,10612
577,인턴,2015-09-24,워너브러더스 코리아(주),낸시 마이어스,12세이상관람가,287511.4674,197634.3333,1924465,1,목요일,북아메리카,121,1022170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,3814,3611166
578,레전드 오브 래빗: 불의 전설,2015-09-24,(주)팝엔터테인먼트,마원,전체관람가,1288224.106,11904,15471.31818,1,목요일,아시아,80,36906,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,B,958,24351
579,뮨: 달의 요정,2015-09-24,씨네그루(주)다우기술,알렉상드르 헤보얀,전체관람가,319072,504071.5,158754.7931,1,목요일,유럽,85,113806,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,905,319465
580,서부전선,2015-09-24,롯데쇼핑㈜롯데엔터테인먼트,천성일,12세이상관람가,556193.0129,2150342.819,939394.8315,1,목요일,아시아,112,690421,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,675,609063
581,젊은 처제,2015-09-10,주식회사 루믹스미디어,이세종,청소년관람불가,363670.7032,865,41.125,0,목요일,아시아,73,770,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,C,569,770
582,조선안방 스캔들-칠거지악,2015-09-15,(주)케이알씨지,이전,청소년관람불가,394,197,489.7926829,0,화요일,아시아,76,394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D,394,394
583,은밀한 방문자,2015-09-16,(주)케이알씨지,윤여창,청소년관람불가,988,329,489.7926829,0,수요일,아시아,72,11701,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D,393,397
584,슬로우 웨스트,2015-10-08,THE 픽쳐스,존 맥클린,15세이상관람가,305640.0234,653613.5,3639.9,1,목요일,유럽,84,69567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,290,9491
585,덫: 치명적인 유혹,2015-09-17,골든타이드픽처스(주),봉만대,청소년관람불가,14188,798166.3333,3295.125,0,목요일,아시아,107,34460,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,C,268,1413
586,션샤인 러브,2015-09-17,"(주)인벤트스톤,(주)영화사오원",조은성,12세이상관람가,709796.0965,1549744.667,99419.92857,0,목요일,아시아,84,12788,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,A,222,896
587,가면무도회,2015-09-12,(주)케빈앤컴퍼니,안드레아 바티스토니,12세이상관람가,629,629,825.1818182,0,토요일,유럽,144,1668,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,D,112,659
588,포크의 여왕 존 바에즈,2015-09-15,(주)나이너스엔터테인먼트,매리 워튼,전체관람가,134026.6175,0,60803.77778,0,화요일,북아메리카,84,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,36,87
589,신화: 고대 왕국의 비밀,2015-09-15,(주)소나무픽쳐스,유도,12세이상관람가,10,10,1360.110169,0,화요일,아시아,95,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,10,10
590,구울,2015-09-11,(주)머스트씨무비릴리징컴퍼니,페트 자클,청소년관람불가,355014.1123,0,5966.571429,0,금요일,유럽,86,16171,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,D,5,5
591,섹스 러브 앤 테라피,2015-09-10,주식회사 풍경소리,토니 마샬,청소년관람불가,5,5,370.4545455,0,목요일,유럽,88,11172,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,5,5
592,스파이 게임,2015-09-10,스크린조이,웨이먼 분스,청소년관람불가,8,28.5,1180.44898,0,목요일,북아메리카,98,521913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,4,8
593,에코스 오브 워,2015-09-11,(주)이놀미디어,케인 세네스,청소년관람불가,556193.0129,19,1.733333333,0,금요일,북아메리카,104,2309,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D,2,2
594,히트스트로크,2015-09-15,(주)박수엔터테인먼트,에버린 퍼셀,15세이상관람가,2,910.6666667,50816,0,화요일,북아메리카,91,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,2
595,나쁜 수업,2015-09-15,주식회사 비엠미디어,한동호,청소년관람불가,1204,0.333333333,NA,0,화요일,아시아,106,18020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1
596,보리의 은밀한 사생활,2015-09-10,스마일컨텐츠,제임스 리,청소년관람불가,1,125.5,1,0,목요일,아시아,81,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D,1,1
597,스티븐 시걸의 살인면허,2015-09-13,(주)소나무픽쳐스,키오니 왁스먼,청소년관람불가,639.8,27.5,1360.110169,0,일요일,북아메리카,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1
598,세컨드 마더,2015-11-12,(주)블룸즈베리리소시스리미티드,안나 무이라에르트,12세이상관람가,250552.9895,0,9654,0,목요일,남아메리카,112,24439,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,5,2835
599,지금은맞고그때는틀리다,2015-09-24,"(주)영화제작전원사 ,(주)넥스트엔터테인먼트월드(NEW)",홍상수,청소년관람불가,35684.25,285374.4444,889173.5225,1,목요일,아시아,121,261424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,2458,80726
600,마션,2015-10-08,이십세기폭스코리아(주),리들리 스콧,12세이상관람가,748832,247421,1210796.833,1,목요일,북아메리카,144,1163358,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,A,1712,4881865
601,나를 미치게 하는 여자,2015-12-10,유니버설픽쳐스인터내셔널 코리아(유),주드 아패토우,청소년관람불가,0,23834,615517.7419,0,목요일,북아메리카,125,501060,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,B,716,34055
602,란제리살인사건,2015-09-17,(주)노리픽쳐스,김세성,청소년관람불가,0,10571,NA,0,목요일,아시아,95,9637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,472,472
603,위험한 섹스,2015-09-23,(주)케이알씨지,이숭환,청소년관람불가,1340,0,489.7926829,0,수요일,아시아,72,62469,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D,393,419
604,성난 변호사,2015-10-08,씨제이이앤엠(주),허종호,15세이상관람가,471547,726481.375,1776720.043,1,목요일,아시아,117,687925,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,282,1128288
605,바다의 노래: 벤과 셀키요정의 비밀,2016-01-14,(주)영화사 진진,톰 무어,전체관람가,10182,NA,26747.775,0,목요일,유럽,93,23403,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,A,196,10411
606,뚜르: 내 생애 최고의 49일,2017-02-01,(주)리틀빅픽쳐스,임정하,12세이상관람가,134026.6175,0,267557.4,0,수요일,아시아,97,55475,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,183,27908
607,러브 인 프로방스,2015-10-08,주식회사 쇼미미디어앤트레이딩,로젤린 보쉬,15세이상관람가,5689,23979.71429,2480.75,1,목요일,유럽,104,35155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,126,5782
608,미스터 레오스 카락스,2015-10-08,오드,테사 루이즈-살로메,청소년관람불가,1090,30064.16667,8861.333333,1,목요일,유럽,71,15544,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,107,1090
609,왕초와 용가리,2016-09-08,㈜인디스토리,이창준,15세이상관람가,134026.6175,NA,5107.791667,0,목요일,아시아,80,945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,104,945
610,더 비지트,2015-10-15,,미카엘 마센,15세이상관람가,134026.6175,NA,NA,0,목요일,유럽,94,547474,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C,58,52197
611,야근 대신 뜨개질,2016-11-17,(주)영화사 진진,박소현,12세이상관람가,1088,0,26747.775,0,목요일,아시아,98,9154,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,44,1314
612,딜쿠샤,2016-11-24,(주)리틀빅픽쳐스,김태영,12세이상관람가,243209,467.6666667,267557.4,0,목요일,아시아,95,7132,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,A,43,1446
613,수호지-천하제패 선찬,2015-09-17,주식회사 루믹스미디어,류신의,12세이상관람가,151.3333333,40,41.125,0,목요일,아시아,94,40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,A,40,40
614,유에프오,2015-09-17,주식회사 루믹스미디어,콜린 미니한,청소년관람불가,40,40,41.125,0,목요일,북아메리카,105,6182,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,D,40,40
615,업사이드 다운,2016-04-14,(주)시네마달,김동빈,12세이상관람가,134026.6175,0,11917.26667,0,목요일,아시아,65,10868,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,36,4026
616,라스트 탱고,2015-12-31,(주)미로스페이스,게르만 크랄,12세이상관람가,134026.6175,NA,36086.5,1,목요일,유럽,85,23664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,30,7547
617,교수와 여제자 3,2015-09-23,(주)피터팬픽쳐스,라파엘 오엘렛,청소년관람불가,492,492,124.5,0,수요일,북아메리카,112,492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C,27,492
618,나를 찾아서,2017-04-06,,트란 푸옹 타오,12세이상관람가,134026.6175,NA,NA,0,목요일,아시아,107,867,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,18,49
619,홀리워킹데이,2016-06-30,무브먼트,이희원,전체관람가,134026.6175,0,919,0,목요일,아시아,83,14513,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,6,1937
620,경계,2016-06-30,(주)시네마달,문정현,12세이상관람가,381.6666667,763.3333333,11917.26667,0,목요일,아시아,87,31913,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,3,1145
621,강시선생 2,2015-09-23,(유)조이앤컨텐츠그룹,유관위,12세이상관람가,336885.5564,2.333333333,975.0625,0,수요일,아시아,89,40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,B,2,40
622,포커 나이트,2015-09-17,(주)이놀미디어,그렉 프랜시스,청소년관람불가,8,160748.5,1.733333333,0,목요일,북아메리카,104,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2,2
623,가슴 노출을 허하라!,2015-09-19,(주)소나무픽쳐스,리나 에스코,15세이상관람가,1,1,1360.110169,0,토요일,북아메리카,79,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,1
624,전쟁의 신,2015-09-20,(주)소나무픽쳐스,아이테킨 비르콘,15세이상관람가,305640.0234,0,1360.110169,0,일요일,중동,107,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1
625,음란한 가족,2015-09-24,(주)KW비젼,신정균,청소년관람불가,2617.5,2971,473,1,목요일,아시아,89,26988,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,D,473,473
626,팬,2015-10-08,워너브러더스 코리아(주),조 라이트,전체관람가,144499,730542.6667,1924465,1,목요일,북아메리카,103,227939,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,B,214,186174
627,스파이 서바이버,2015-10-05,(주)드림팩트엔터테인먼트,제임스 맥티그,15세이상관람가,153581,1,7795.933333,0,월요일,북아메리카,90,243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,200,243
628,더 로프트 : 비밀의 방,2015-10-01,(유)조이앤시네마,에릭 반 루이,청소년관람불가,5441,164435.6667,10713.5,1,목요일,북아메리카,102,20333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,154,5441
629,욜란타 & 푸른 수염의 성,2015-09-26,(주)인스터피씨엠,게리 할버슨,12세이상관람가,981,551,774.59375,1,토요일,북아메리카,215,551,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,129,551
630,"안녕, 전우치! 도술로봇대결전",2015-10-08,(주)리틀빅픽쳐스,김대창,전체관람가,429610.1808,20311.66667,267557.4,1,목요일,아시아,88,23444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A,112,13055
631,맛있는 덫-정사,2015-09-30,(주)케이알씨지,신정균,청소년관람불가,2617.5,607,489.7926829,1,수요일,아시아,88,426,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,D,12,426
632,더 게스트,2015-09-25,브릿지웍스 엔터테인먼트(주),아담 윈가드,청소년관람불가,75.66666667,2585842,3670.928571,1,금요일,북아메리카,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,2
633,새크리파이스,2015-09-25,(주)이놀미디어,마이클 콘,청소년관람불가,2,6248,1.733333333,1,금요일,북아메리카,93,558,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,2
634,나를 찾아봐,2015-09-24,오퍼스픽쳐스,테드 게오게간,청소년관람불가,49374.08893,3148,8734.75,1,목요일,북아메리카,83,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,1,1
635,남편만 몰라요 (무삭제),2015-09-30,더그레이트 컴퍼니,고광현,청소년관람불가,363670.7032,0,24,1,수요일,아시아,91,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,1,2
636,런어웨이-72,2015-09-24,(주)블루브릭,크리스찬 세스마,청소년관람불가,305640.0234,59173,1,1,목요일,북아메리카,83,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1
637,매치,2015-09-24,(주)블루브릭,스티븐 벨버,청소년관람불가,1,723040,1,1,목요일,북아메리카,123,30878,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1
638,새벽 세시 : 잠들지 못한 자의 이야기,2015-09-24,(주)씨타마운틴픽쳐스,이사라 나디,15세이상관람가,1,1,13116.08621,1,목요일,아시아,105,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,1,1
639,세븐미니츠,2015-09-24,(주)블루브릭,제이 마틴,청소년관람불가,1,1,1,1,목요일,북아메리카,91,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1
640,스탠딩 업,2015-09-24,(주)블루브릭,D.J. 카루소,12세이상관람가,1,1,1,1,목요일,북아메리카,93,3478,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1
641,좀비버,2015-09-24,오퍼스픽쳐스,조던 루빈,청소년관람불가,1,1,8734.75,1,목요일,북아메리카,77,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,1,1
642,비밀,2015-10-15,CGV아트하우스,박은경,15세이상관람가,850818.2528,658907.0278,345363.1111,0,목요일,아시아,86,12732,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,C,887,50196
643,인생면허시험,2015-10-29,예지림엔터테인먼트,이자벨 코이젯트,청소년관람불가,2325,1550,10600.7619,0,목요일,북아메리카,90,51977,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,B,700,2325
644,포장마차,2015-10-01,에이라인,최율권희,청소년관람불가,363670.7032,0,NA,1,목요일,아시아,98,520,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,402,520
645,"그녀, 잉그리드 버그만",2015-10-15,찬란,스티그 비요크만,전체관람가,134026.6175,30228,14099.2,0,목요일,유럽,114,36641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C,318,2207
646,아델라인 : 멈춰진 시간,2015-10-15,(주)쇼박스,리 톨랜드 크리거,12세이상관람가,0,131945.6667,2679115.4,0,목요일,북아메리카,112,148400,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,B,282,40096
647,온리 유,2015-10-15,(주)영화사 빅,장하오,15세이상관람가,363670.7032,6519.5,44507.36111,0,목요일,아시아,113,70504,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,B,238,12990
648,리그레션,2015-10-15,(주)박수엔터테인먼트,알레한드로 아메나바르,15세이상관람가,305640.0234,1726655.5,50816,0,목요일,유럽,106,45456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,214,18057
649,챔피언 프로그램,2015-10-28,판씨네마(주),스티븐 프리어스,12세이상관람가,19026.5,231790.6667,209118.1667,1,수요일,유럽,103,53141,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,175,6301
650,아내의 애인,2015-10-08,(주)영화사 사계절,소영환,청소년관람불가,76159.23577,0,316.5,1,목요일,아시아,90,15507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,B,50,364
651,환타스틱 러브짐: 전쟁 같은 사랑,2015-10-08,(주)유비네트워크,한우진,청소년관람불가,287511.4674,101,5051,1,목요일,아시아,83,303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,D,17,303
652,라이브 TV,2015-10-01,더컨텐츠콤(주),김선웅,청소년관람불가,15,136.6666667,1730.5,1,목요일,아시아,86,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,15,15
653,나이트 비포,2015-10-01,(주)이놀미디어,케니 영,청소년관람불가,287511.4674,0,1.733333333,1,목요일,북아메리카,86,2754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,2,2
654,"라이크 선데이, 라이크 레인",2015-10-07,(주)이놀미디어,프랭크 웨일리,12세이상관람가,2,2,1.733333333,1,수요일,북아메리카,104,7997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,2,2
655,애프터이미지,2015-10-06,(주)컴퍼니엘,토니 컨,15세이상관람가,2,2,173.5714286,0,화요일,아시아,92,1630,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,1,35
656,특종: 량첸살인기,2015-10-22,롯데쇼핑㈜롯데엔터테인먼트,노덕,15세이상관람가,1865195,994024,939394.8315,0,목요일,아시아,125,869234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,14755,616481
657,위아 유어 프렌즈,2015-11-12,씨네그루(주)다우기술,맥스 조셉,청소년관람불가,326712.2252,39850.5,158754.7931,0,목요일,북아메리카,96,275188,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,A,1788,37853
658,슈퍼 스파이: 수상한 임무,2015-10-15,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",하비에르 페서,전체관람가,28626,NA,26772,0,목요일,유럽,91,17968,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,1554,28849
659,트랜스포터: 리퓰드,2015-10-15,씨네그루(주)다우기술,카밀 들라마레,15세이상관람가,74912,1658598,158754.7931,0,목요일,유럽,86,230342,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C,986,161245
660,돌연변이,2015-10-22,필라멘트픽쳐스,권오광,12세이상관람가,73862.75,285164.3333,36476.6,0,목요일,아시아,93,879522,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,C,892,100543
661,더 폰,2015-10-22,(주)넥스트엔터테인먼트월드(NEW),김봉주,15세이상관람가,986923,2599629,1730768.045,0,목요일,아시아,114,792571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,821,1593694
662,낫 마이 데이,2015-10-08,(주)컴퍼니엘,피터 쏘워스,청소년관람불가,656,3551,173.5714286,1,목요일,유럽,110,1788,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,653,656
663,라이프,2015-10-15,"(주)영화사오원,(주)프레인글로벌",안톤 코르빈,15세이상관람가,15654,186343,64566.15932,0,목요일,북아메리카,88,7086,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,438,459984
664,유부녀들,2015-10-14,(주)소나무픽쳐스,경석호,청소년관람불가,2864.5,258,1360.110169,0,수요일,아시아,90,516,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,C,373,516
665,슬리핑 위드 아더 피플,2015-10-22,오퍼스픽쳐스,레슬리 헤드랜드,청소년관람불가,8252,6784.333333,8734.75,0,목요일,북아메리카,95,11305,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,B,320,8252
666,디판,2015-10-22,그린나래미디어(주),자크 오디아르,청소년관람불가,31766,0,NA,0,목요일,유럽,114,13408,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,233,5821
667,하늘을 걷는 남자,2015-10-28,유니버설픽쳐스인터내셔널 코리아(유),로버트 저메키스,12세이상관람가,20491,86512.33333,615517.7419,1,수요일,북아메리카,123,1009283,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,154,238439
668,어떤살인,2015-10-28,"TCO(주)더콘텐츠온,(주)전망좋은 영화사",안용훈,청소년관람불가,305640.0234,330331.6667,9918.5,1,수요일,아시아,107,136158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,108,17190
