Data
21.67
22.318
22.094
21.507
21.798
22.285
21.824
21.999
21.961
21.983
21.601
21.49
21.97
22.313
22.477
21.881
21.324
22.138
21.888
22.217
21.902
21.86
22.26
21.703
21.842
21.965
21.684
22.215
21.694
21.721
21.394
22.008
22.267
21.597
21.821
21.995
21.664
22.038
22.015
21.73
22.393
21.953
22.278
21.779
21.368
21.886
21.967
22.294
22.062
22.181
