inspectNum,div,c1,c2,lp0.95,lp0.5,lp0.1
1,14.5,0,1,0.16,0.84,2.32
2,8.07,0,2,0.3,1.07,2.42
3,6.48,1,3,0.6,1.8,3.89
4,5.39,0,3,0.49,1.35,2.64
5,5.09,1,4,0.77,1.97,3.92
6,4.31,0,4,0.68,1.64,2.93
7,4.19,1,5,0.96,2.18,4.02
8,3.6,1,6,1.16,2.44,4.17
9,3.26,2,8,1.68,3.28,5.47
10,2.96,3,10,2.27,4.13,6.72
11,2.77,3,11,2.46,4.36,6.82
12,2.62,4,13,3.07,5.21,8.05
13,2.46,4,14,3.29,5.4,8.11
14,2.21,3,15,3.41,5.4,7.55
15,1.97,4,20,4.75,7.02,9.35
16,1.74,6,30,7.45,10.31,12.96
