S1,S2,S3,S4,G1,G2,G3,n,ac
33,33,33,33,33,33,33,32,1
1E+15,1E+15,500001,10001,1201,281,151,50,3
1E+15,1E+15,1E+15,35001,3201,501,281,80,5
1E+15,1E+15,1E+15,500001,10001,1201,501,125,10
