S1,S2,S3,S4,G1,G2,G3,n,ac
81,81,81,81,81,81,81,80,1
1E+15,1E+15,1E+15,500001,10001,1201,501,125,3
1E+15,1E+15,1E+15,1E+15,35001,3201,1201,200,5
1E+15,1E+15,1E+15,1E+15,150001,10001,3201,315,10
