S1,S2,S3,S4,G1,G2,G3,n,ac
201,201,201,201,201,201,201,200,1
1E+15,1E+15,1E+15,1E+15,150001,10001,3201,315,3
1E+15,1E+15,1E+15,1E+15,500001,35001,10001,500,5
1E+15,1E+15,1E+15,1E+15,1E+15,150001,35001,800,10
