S1,S2,S3,S4,G1,G2,G3,n,ac
126,126,126,126,126,126,126,125,1
1E+15,1E+15,1E+15,1E+15,35001,3201,1201,200,3
1E+15,1E+15,1E+15,1E+15,150001,10001,3201,315,5
1E+15,1E+15,1E+15,1E+15,500001,35001,10001,500,10
