S1,S2,S3,S4,G1,G2,G3,n,ac
501,501,501,501,501,501,501,500,1
1.00E+15,1.00E+15,1.00E+15,1.00E+15,1.00E+15,150001,35001,800,3
1.00E+15,1.00E+15,1.00E+15,1.00E+15,1.00E+15,500001,150001,1250,5
