S1,S2,S3,S4,G1,G2,G3,n,ac
14,14,14,14,14,14,14,13,1
1E+15,1E+15,3201,501,281,91,51,20,3
1E+15,1E+15,35001,1201,501,151,91,32,5
1E+15,1E+15,500001,10001,1201,281,151,50,10
