S1,S2,S3,S4,G1,G2,G3,n,ac
801,801,801,801,801,801,801,800,1
1E+15,1E+15,1E+15,1E+15,1E+15,500001,150001,1250,3
1E+15,1E+15,1E+15,1E+15,1E+15,1E+15,500001,2000,5
