sLetter,sSize,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10,15,25,40,65,100,150,250,400,650,1000
A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,8,12,18,27
B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,15,23
C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,15,23,23
D,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,15,23,23,23
E,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,15,23,23,23,23
F,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,9,15,23,23,23,23
G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,9,9,15,23,23,23,23
H,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,9,9,9,15,23,23,23,23
J,50,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,9,9,9,9,15,23,23,23,23
K,80,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,9,9,9,9,9,15,23,23,23,23
L,125,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,9,9,9,9,9,9,15,23,23,23,23
M,200,0,0,0,0,0,0,0,0,0,1,2,3,6,9,9,9,9,9,9,9,9,15,23,23,23,23
N,315,0,0,0,0,0,0,0,0,1,2,3,6,9,9,9,9,9,9,9,9,9,15,23,23,23,23
P,500,0,0,0,0,0,0,0,1,2,3,6,9,9,9,9,9,9,9,9,9,9,15,23,23,23,23
Q,800,0,0,0,0,0,0,1,2,3,6,9,9,9,9,9,9,9,9,9,9,9,15,23,23,23,23
R,1250,0,0,0,0,0,1,2,3,6,9,9,9,9,9,9,9,9,9,9,9,9,15,23,23,23,23
S,2000,,,0,,,,,,,,,,,,,,,,,,,,,,,
