S1,S2,S3,S4,G1,G2,G3,n,ac
316,316,316,316,316,316,316,315,1
1.00E+15,1.00E+15,1.00E+15,1.00E+15,1.00E+15,35001,10001,500,3
1.00E+15,1.00E+15,1.00E+15,1.00E+15,1.00E+15,150001,36001,800,5
1.00E+15,1.00E+15,1.00E+15,1.00E+15,1.00E+15,500001,150001,1250,10
